Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
LaScie,21.428571428571427,1.1904761904761905,15.909090909090908,2.272727272727273,49.955826,-55.596101,23.636363636363967,0.7575757575758075
Brent's Cove,20.0,0.0,11.76470588235294,0.0,49.935455,-55.71329,23.29411764705901,0.0
Pacquet,29.411764705882355,0.0,22.22222222222222,0.0,49.991176,-55.885458,32.28758169934645,0.0
Baie Verte,21.53846153846154,2.307692307692308,18.51851851851852,2.2222222222222223,49.937688,-56.195098,22.7464387464388,2.3418803418803478
Coachman's Cove,22.22222222222222,0.0,37.5,0.0,50.060659,-56.157894,16.111111111111313,0.0
Westport,25.0,0.0,24.0,0.0,49.787353,-56.636185,25.399999999999977,0.0
Ming's Bight,21.21212121212121,0.0,15.151515151515152,0.0,49.975862,-56.049215,23.636363636363512,0.0
Woodstock,35.0,0.0,22.22222222222222,0.0,49.966058,-55.882371,40.11111111111131,0.0
Miles Cove,30.0,0.0,16.666666666666664,0.0,49.542169,-55.780219,35.33333333333303,0.0
Fogo Island,23.981900452488688,2.262443438914027,20.425531914893615,2.553191489361702,49.713908,-54.275593,25.404447867526642,2.1461442187349604
Englee,28.30188679245283,0.0,23.636363636363637,1.818181818181818,50.732398,-56.105916,30.168096054888565,0.0
Roddickton-Bide Arm,24.0,2.0,18.95734597156398,2.3696682464454977,50.818055,-56.096467,26.0170616113744,1.8521327014217945
Conche,29.411764705882355,5.88235294117647,23.52941176470588,0.0,50.885056,-55.895085,31.7647058823527,8.235294117646845
Trout River,21.62162162162162,1.8018018018018016,17.391304347826086,2.608695652173913,49.470971,-58.12629,23.31374853113971,1.479044261652973
"Woody Point, Bonne Bay",38.46153846153847,0.0,29.629629629629623,0.0,49.500731,-57.918283,41.99430199430162,0.0
Norris Point,27.692307692307693,1.5384615384615383,20.0,1.5384615384615383,49.527034,-57.884009,30.76923076923049,1.5384615384615383
Rocky Harbour,22.47191011235955,0.0,16.483516483516482,0.0,49.590165,-57.916398,24.867267563896803,0.0
Daniel's Harbour,25.925925925925924,3.7037037037037033,22.22222222222222,0.0,50.230075,-57.589061,27.40740740740739,5.185185185185446
Cow Head,23.809523809523807,0.0,17.391304347826086,2.1739130434782608,49.913694,-57.793195,26.37681159420299,0.0
Hawke's Bay,24.24242424242424,3.0303030303030303,20.0,0.0,50.606149,-57.171774,25.939393939393767,4.242424242424249
Port Saunders,22.22222222222222,3.1746031746031744,19.696969696969695,1.5151515151515151,50.647769,-57.302712,23.23232323232321,3.838383838383834
Port au Choix,24.050632911392405,0.0,13.414634146341465,0.0,50.702755,-57.363275,28.305032417412804,0.0
Anchor Point,17.46031746031746,0.0,13.636363636363637,0.0,51.238341,-56.790229,18.989898989899075,0.0
Flower's Cove,40.74074074074074,5.555555555555555,30.64516129032258,6.451612903225806,51.297579,-56.729741,44.778972520908155,5.197132616487465
Bird Cove,21.052631578947366,5.263157894736842,21.052631578947366,0.0,51.029852,-56.954526,21.052631578947366,7.36842105263122
Main Brook,36.0,0.0,22.22222222222222,3.7037037037037033,51.184232,-56.019227,41.51111111111095,0.0
St. Anthony,21.86046511627907,2.3255813953488373,16.52173913043478,1.7391304347826086,52.89,-60.511,23.995955510616568,2.56016177957531
Glenburnie-Birchy Head-Shoal Brook,28.000000000000004,0.0,31.03448275862069,3.4482758620689653,49.4702,-57.919314,26.786206896551676,0.0
Raleigh,30.0,0.0,28.57142857142857,0.0,51.559155,-55.729009,30.57142857142867,0.0
Goose Cove East,16.666666666666664,0.0,14.285714285714285,0.0,52.89,-60.511,17.619047619047706,0.0
Bellburns,50.0,0.0,33.33333333333333,0.0,50.335509,-57.533217,56.66666666666697,0.0
